,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,days_since_last_review,minimum_amount_spent,rating_score
1429,14505006,Guest suite in San Francisco · ★4.94 · 1 bedroom · 1 bed · 1 bath,8237509,Susann,North Beach,37.80246,-122.40379,Entire home/apt,232,3,227,2023-10-24,2.62,1,315,27,STR-0000171,78,696,2.91025641025641
1430,14538591,Home in San Francisco · ★4.81 · 1 bedroom · 2 beds · 1 bath,41376640,Pauline,Outer Sunset,37.76258,-122.50215,Entire home/apt,96,2,250,2023-11-19,3.04,1,0,59,STR-0003248,52,192,4.8076923076923075
1432,14553693,Guesthouse in San Francisco · ★4.98 · 1 bedroom · 1 bed · 1 bath,94548508,Rosa,Haight Ashbury,37.77282,-122.43798,Entire home/apt,170,3,283,2023-11-22,3.19,1,272,39,STR-0005668,49,510,5.775510204081633
1435,14611058,Condo in San Francisco · ★4.75 · 1 bedroom · 1 bed · 2 shared baths,73070632,Tina,Crocker Amazon,37.70921,-122.44881,Private room,39,31,24,2021-12-27,0.27,5,302,0,1084922,744,1209,0.03225806451612903
1436,14619235,Home in San Francisco · ★4.99 · 2 bedrooms · 2 beds · 1 bath,5043788,Irene,Noe Valley,37.74744,-122.43685,Entire home/apt,375,3,123,2023-11-01,1.49,1,2,12,STR-0001873,70,1125,1.7571428571428571
1439,14673134,Rental unit in San Francisco · ★4.94 · Studio · 1 bed · 1 bath,39655178,Jeff,Bernal Heights,37.73711,-122.42345,Entire home/apt,135,30,33,2023-10-31,0.38,1,147,4,City registration pending,71,4050,0.4647887323943662
1440,14691164,Rental unit in San Francisco · ★4.96 · 2 bedrooms · 2 beds · 1 bath,31069921,Tim,Castro/Upper Market,37.76421,-122.43397,Entire home/apt,291,4,191,2023-11-16,2.3,1,68,29,STR-0005509,55,1164,3.4727272727272727
1441,14705126,Rental unit in San Francisco · ★4.81 · 2 bedrooms · 3 beds · 1.5 baths,91464797,Un Kuan (Anna),Outer Sunset,37.76234,-122.49349,Entire home/apt,156,2,334,2023-11-14,3.8,1,313,20,2023-007894STR,57,312,5.859649122807017
1443,14759973,Condo in San Francisco · ★4.96 · 2 bedrooms · 2 beds · 1.5 baths,12654522,Shaelyn,Mission,37.75894,-122.41187,Entire home/apt,350,3,47,2023-11-14,0.54,1,71,22,2022-009764STR,57,1050,0.8245614035087719
1444,14760041,Rental unit in San Francisco · ★4.92 · 2 bedrooms · 2 beds · 1 bath,92031637,Kimberley,Inner Sunset,37.76155,-122.47044,Entire home/apt,205,2,24,2019-12-13,0.3,1,30,0,STR-0005852,1489,410,0.016118200134318333
1445,14763705,Rental unit in San Francisco · ★4.84 · 2 bedrooms · 4 beds · 1 bath,92075817,Joe,Ocean View,37.71852,-122.4563,Entire home/apt,86,1,692,2023-11-30,7.85,1,277,102,STR-0001706,41,86,16.878048780487806
1446,14773919,Guesthouse in San Francisco · ★4.97 · 1 bedroom · 1 bed · 1 bath,9193625,Terry,West of Twin Peaks,37.73616,-122.45413,Entire home/apt,89,30,157,2023-07-20,1.85,1,158,4,STR-0001634,174,2670,0.9022988505747126
1447,14775913,Home in San Francisco · ★4.96 · 2 bedrooms · 3 beds · 1 bath,48003274,Voytek,Twin Peaks,37.74952,-122.44851,Entire home/apt,328,3,106,2023-10-24,1.21,1,344,8,STR-0001468,78,984,1.358974358974359
1448,14802586,Townhouse in San Francisco · ★4.87 · Studio · 1 bed · 1 bath,78451071,Michael,Western Addition,37.7716,-122.43245,Entire home/apt,110,30,157,2023-11-15,1.79,1,70,3,pending,56,3300,2.8035714285714284
1449,14804950,Guest suite in San Francisco · ★4.89 · Studio · 1 bed · 1 bath,24949158,Angela,Bernal Heights,37.74486,-122.41814,Entire home/apt,91,1,809,2023-11-26,9.32,1,62,113,STR-0002030,45,91,17.977777777777778
1450,14808208,Rental unit in San Francisco · ★4.88 · 2 bedrooms · 2 beds · 2.5 baths,7325515,Jo Anne,Inner Sunset,37.76094,-122.46439,Entire home/apt,190,30,57,2023-05-19,0.65,5,363,2,City registration pending,236,5700,0.24152542372881355
1452,14869150,Condo in San Francisco · ★4.98 · 1 bedroom · 1 bed · 1.5 baths,47112373,Fiona,Western Addition,37.78522,-122.44436,Entire home/apt,237,3,81,2023-11-28,0.93,1,21,8,STR-0001733,43,711,1.8837209302325582
1455,14898913,Home in San Francisco · ★4.86 · 4 bedrooms · 4 beds · 2 shared baths,84154713,Sean,Bayview,37.72749,-122.39114,Private room,67,2,29,2023-11-22,0.34,4,73,19,STR-0001844,49,134,0.5918367346938775
1456,14903530,Townhouse in San Francisco · ★4.91 · 3 bedrooms · 2 beds · 3 baths,90631,Dan,Diamond Heights,37.74202,-122.43722,Entire home/apt,350,7,11,2022-02-27,0.13,1,214,0,STR-0002491,682,2450,0.016129032258064516
1457,14910754,Home in San Francisco · ★4.85 · 3 bedrooms · 3 beds · 2 baths,93655170,Marc,Haight Ashbury,37.76613,-122.45284,Entire home/apt,350,30,48,2023-11-05,0.92,2,57,14,pending,66,10500,0.7272727272727273
1458,14934208,Rental unit in San Francisco · ★4.96 · 1 bedroom · 2 beds · 1 private bath,23626101,Collin,South of Market,37.77711,-122.41515,Private room,81,1,547,2023-11-17,7.7,2,335,112,STR-0005362,54,81,10.12962962962963
1459,14944663,Home in San Francisco · ★4.92 · 3 bedrooms · 4 beds · 1.5 baths,1243792,Carolyn,Haight Ashbury,37.76299,-122.44985,Entire home/apt,400,4,132,2023-11-07,1.56,1,276,30,STR-0003767,64,1600,2.0625
1460,14982928,Condo in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 bath,5017010,Daniel,Downtown/Civic Center,37.782974354766274,-122.4187069154951,Private room,88,18,4,2017-01-12,0.05,2,0,0,2022-011122STR,2554,1584,0.0015661707126076742
1462,14988703,Townhouse in San Francisco · ★4.81 · 2 bedrooms · 2 beds · 1 bath,94478439,Carole,Potrero Hill,37.76368,-122.39567,Entire home/apt,325,365,52,2022-08-21,0.59,1,338,0,STR-075884,507,118625,0.10256410256410256
1463,14990478,Cottage in San Francisco · ★4.92 · 1 bedroom · 1 bed · 1 bath,71381627,Eddie,Outer Mission,37.72912,-122.44475,Entire home/apt,93,1,632,2023-12-02,7.23,1,0,129,STR-0003887,39,93,16.205128205128204
1464,14996188,Guest suite in San Francisco · ★4.98 · Studio · 1 bed · 1 bath,1492583,Suzanne,Inner Sunset,37.75868,-122.46985,Entire home/apt,155,3,412,2023-11-22,4.74,1,42,62,STR-0005151,49,465,8.408163265306122
1465,15024335,Rental unit in San Francisco · ★4.92 · 2 bedrooms · 2 beds · 2 baths,48503905,Angie,Potrero Hill,37.75738,-122.38933,Entire home/apt,600,2,66,2023-10-02,0.76,1,89,10,STR-0004675,100,1200,0.66
1466,15051965,Guest suite in San Francisco · ★4.90 · 1 bedroom · 2 beds · 1 bath,56666480,Bassel,West of Twin Peaks,37.74303,-122.469,Entire home/apt,134,2,370,2023-11-26,4.22,1,352,46,STR-0001652,45,268,8.222222222222221
1468,15054072,Condo in San Francisco · ★4.89 · Studio · 2 beds · 1 bath,22267033,Jennifer,Downtown/Civic Center,37.78751,-122.40929,Entire home/apt,299,2,9,2022-09-23,0.12,19,359,0,License not needed per OSTR,474,598,0.0189873417721519
1469,15055277,Boutique hotel in San Francisco · ★4.43 · 1 bedroom · 2 beds · 1 bath,93714995,Hotel,Financial District,37.78931,-122.40588,Private room,170,1,279,2023-11-20,3.18,15,145,55,BAN-1030905,51,170,5.470588235294118
1470,15060615,Home in San Francisco · ★4.65 · 2 bedrooms · 2 beds · 1.5 baths,95220454,Wilson,Ocean View,37.71597,-122.45397,Entire home/apt,195,3,27,2019-07-28,0.32,1,120,0,STR-0001814,1627,585,0.016594960049170254
1471,15067182,Boutique hotel in San Francisco · ★4.89 · 1 bedroom · 1 bed · 1 private bath,11218165,Bryn,Pacific Heights,37.79427,-122.43178,Private room,249,2,115,2023-11-12,1.32,1,17,7,License not needed per OSTR,59,498,1.9491525423728813
1472,15070065,Rental unit in San Francisco · ★4.82 · 1 bedroom · 1 bed · 1 bath,4249288,Annria,Excelsior,37.72733,-122.42932,Entire home/apt,99,2,153,2023-10-30,1.76,1,365,14,STR-0001876,72,198,2.125
1474,15111599,Condo in San Francisco · 1 bedroom · 1 bed · 1 bath,51003,Jeremy,Western Addition,37.77642,-122.42482,Entire home/apt,145,30,2,2019-04-05,0.02,1,0,0,STR-0001805,1741,4350,0.0011487650775416428
1475,15132100,Boutique hotel in San Francisco · ★4.32 · 1 bedroom · 1 bed · 1 bath,93714995,Hotel,Financial District,37.78931,-122.40588,Private room,153,1,368,2023-10-26,4.2,15,144,19,BAN-1030905,76,153,4.842105263157895
1476,15132855,Guest suite in San Francisco · ★4.94 · 1 bedroom · 1 bed · 1 bath,53614586,Erin,Marina,37.80572,-122.43545,Entire home/apt,261,2,353,2023-12-03,4.05,1,57,46,STR-0001752,38,522,9.289473684210526
1477,15150709,Home in San Francisco · ★4.84 · 2 bedrooms · 2 beds · 1 bath,7728783,Cynthia,Noe Valley,37.74473,-122.43245,Entire home/apt,290,5,63,2023-10-21,0.72,2,51,6,City registration pending,81,1450,0.7777777777777778
1478,15162895,Rental unit in San Francisco · ★4.51 · 2 bedrooms · 3 beds · 1 bath,3843134,Jack,Western Addition,37.78519,-122.44194,Entire home/apt,299,30,35,2019-09-05,0.4,1,0,0,City registration pending,1588,8970,0.02204030226700252
1479,15166182,Guest suite in San Francisco · ★4.64 · 1 bedroom · 4 beds · 1 bath,54217986,Janet,West of Twin Peaks,37.73745,-122.45902,Entire home/apt,199,3,72,2023-08-13,0.83,1,365,1,STR-0005184,150,597,0.48
1480,15174265,Rental unit in San Francisco · ★4.41 · 1 bedroom · 1 bed · 1 bath,93714995,Hotel,Financial District,37.78835,-122.40489,Private room,153,1,37,2023-11-05,0.42,15,144,19,BAN-1030905,66,153,0.5606060606060606
1481,15179182,Rental unit in San Francisco · ★4.84 · 2 bedrooms · 2 beds · 1 bath,861262,Lauren,Bayview,37.73791,-122.38596,Entire home/apt,211,2,357,2023-11-13,4.14,1,166,18,STR-0001754,58,422,6.155172413793103
1482,15189360,Condo in San Francisco · ★4.81 · 2 bedrooms · 2 beds · 1.5 baths,702376,Zane,South of Market,37.77453,-122.40711,Entire home/apt,550,365,26,2022-05-31,0.41,1,365,0,STR-0003387,589,200750,0.044142614601018676
1483,15220043,Home in San Francisco · ★4.96 · 2 bedrooms · 2 beds · 1 bath,64579077,Stephen,Noe Valley,37.75491,-122.439186,Entire home/apt,525,4,112,2023-11-18,1.33,1,300,18,2022-017718STR,53,2100,2.1132075471698113
1484,15233175,Rental unit in San Francisco · ★4.88 · 1 bedroom · 1 bed · 1 bath,16064491,Austin,Mission,37.75127,-122.41107,Entire home/apt,78,30,72,2023-10-23,0.83,1,40,6,City registration pending,79,2340,0.9113924050632911
1485,15236335,Guesthouse in San Francisco · ★4.91 · 1 bedroom · 1 bed · 1 bath,24973603,Mai,Crocker Amazon,37.70854,-122.45021,Entire home/apt,105,3,244,2023-11-25,2.8,1,315,44,STR-0004981,46,315,5.304347826086956
1486,15267186,Boutique hotel in San Francisco · ★4.45 · 1 bedroom · 2 beds · 1 private bath,93714995,Hotel,Financial District,37.78931,-122.40588,Private room,148,1,237,2023-11-12,2.8,15,133,23,BAN-1030905,59,148,4.016949152542373
1487,15268492,Condo in San Francisco · ★4.78 · Studio · 2 beds · 1 bath,22267033,Jennifer,Downtown/Civic Center,37.78828,-122.4092,Entire home/apt,299,2,9,2022-03-23,0.12,19,359,0,License not needed per OSTR,658,598,0.013677811550151976
1488,15269286,Rental unit in San Francisco · ★4.92 · Studio · 1 bath,33460481,Colin,Western Addition,37.78015,-122.43604,Entire home/apt,125,30,63,2023-07-16,0.72,1,205,2,1081271,178,3750,0.3539325842696629
1490,15282659,Condo in San Francisco · ★4.62 · 1 bedroom · 1 bed · 2 shared baths,73070632,Tina,Crocker Amazon,37.70894,-122.44825,Private room,39,30,21,2023-07-11,0.24,5,197,1,1084922,183,1170,0.11475409836065574
1492,15297353,Rental unit in San Francisco · ★4.86 · 1 bedroom · 2 beds · 1 bath,34480173,Andrew,Bernal Heights,37.74333,-122.42094,Entire home/apt,100,30,22,2023-10-28,0.3,1,363,2,City registration pending,74,3000,0.2972972972972973
1496,15330348,Guest suite in San Francisco · ★4.75 · 1 bedroom · 1 bed · 1 bath,97717942,Ping,Diamond Heights,37.74354,-122.44248,Entire home/apt,120,3,404,2023-10-13,4.65,1,69,19,2023-001295STR,89,360,4.53932584269663
1497,15346313,Condo in San Francisco · ★4.89 · 3 bedrooms · 3 beds · 1 bath,24910,Maria,Mission,37.75698852539063,-122.41758728027344,Entire home/apt,400,30,53,2023-08-24,0.61,1,149,2,STR-0002349,139,12000,0.381294964028777
1501,15383658,Condo in San Francisco · ★4.86 · 4 bedrooms · 1 bed · 1 shared bath,17536951,Rob,Bernal Heights,37.74349,-122.42139,Private room,85,4,170,2023-11-07,1.97,4,12,21,STR-0001202,64,340,2.65625
1507,15512995,Home in San Francisco · ★4.95 · 3 bedrooms · 3 beds · 3.5 baths,1865162,Susan,Bernal Heights,37.74656,-122.41047,Entire home/apt,575,4,20,2023-07-30,0.24,1,39,2,STR-0001818,164,2300,0.12195121951219512
1509,15567704,Home in San Francisco · ★4.78 · 2 bedrooms · 2 beds · 2 baths,100278291,Vannida,Castro/Upper Market,37.7683,-122.43016,Entire home/apt,299,30,219,2023-06-26,2.61,1,360,15,STR-0001721,198,8970,1.106060606060606
1515,15605090,Home in San Francisco · ★4.73 · 1 bedroom · 2 beds · 1 shared bath,68432368,Brian,Inner Sunset,37.76477,-122.4697,Private room,68,30,45,2022-05-08,0.52,2,364,0,STR-0001234,612,2040,0.07352941176470588
1517,15663411,Rental unit in San Francisco · ★4.56 · 1 bedroom · 1 bed · 1 bath,93714995,Hotel,Financial District,37.78999,-122.40495,Private room,128,1,25,2023-11-06,0.29,15,148,17,BAN-1030905,65,128,0.38461538461538464
1521,15702583,Rental unit in San Francisco · ★4.09 · 1 bedroom · 1 bed · 1 bath,100390518,Herbert,Downtown/Civic Center,37.78698,-122.40771,Private room,89,1,34,2022-10-07,0.4,18,22,0,License not needed per OSTR,460,89,0.07391304347826087
1524,15722690,Home in San Francisco · ★4.78 · 1 bedroom · 2 beds · 1.5 baths,10829039,Viviane,Inner Richmond,37.77564,-122.46332,Private room,180,2,87,2023-10-02,1.04,5,365,9,2023-002537STR,100,360,0.87
1525,15769037,Rental unit in San Francisco · ★3.0 · 1 bedroom · 1 bed · 1 private bath,100390518,Herbert,Downtown/Civic Center,37.78683,-122.40726,Private room,75,1,5,2019-08-26,0.06,18,0,0,License not needed per OSTR,1598,75,0.0031289111389236545
1526,15769324,Rental unit in San Francisco · ★4.38 · 1 bedroom · 1 bed · 1 bath,100390518,Herbert,Downtown/Civic Center,37.78504,-122.40877,Private room,99,1,53,2023-09-01,0.62,18,22,2,License not needed per OSTR,131,99,0.40458015267175573
1527,15770116,Rental unit in San Francisco · ★4.86 · 4 bedrooms · 4 beds · 3 baths,91488071,Dan And Jan,Pacific Heights,37.79588,-122.42757,Entire home/apt,285,30,64,2023-08-16,0.76,3,136,3,City registration pending,147,8550,0.43537414965986393
1529,15776727,Home in San Francisco · ★4.97 · 1 bedroom · 1 bed · 1 bath,15024043,Kai,Castro/Upper Market,37.76271,-122.42657,Entire home/apt,175,30,63,2023-10-27,0.76,1,283,6,City registration pending,75,5250,0.84
1530,15785104,Home in San Francisco · ★5.0 · 2 bedrooms · 3 beds · 2 baths,5805679,Laurence,Castro/Upper Market,37.76335144042969,-122.43939208984376,Entire home/apt,360,3,76,2023-10-20,0.9,32,112,6,2023-000626STR,82,1080,0.926829268292683
1531,15832358,Rental unit in San Francisco · ★4.88 · 1 bedroom · 1 bed · 2 shared baths,3227887,David,Castro/Upper Market,37.76594543457031,-122.43437957763672,Private room,100,3,73,2023-08-31,0.85,2,343,8,STR-0000765,132,300,0.553030303030303
1532,15835438,Home in San Francisco · ★4.84 · 3 bedrooms · 4 beds · 2 baths,4256843,Selena,Outer Richmond,37.77341,-122.50575,Entire home/apt,280,5,25,2023-07-12,0.32,1,0,1,STR-0002219,182,1400,0.13736263736263737
1533,15843007,Rental unit in San Francisco · ★4.69 · 1 bedroom · 1 bed · 1 private bath,9270394,Wilson,Visitacion Valley,37.71159,-122.40027,Private room,55,30,81,2023-08-01,0.95,1,162,3,City registration pending,162,1650,0.5
1534,15849484,Home in San Francisco · ★4.80 · 1 bedroom · 1 bed · 1 bath,69727514,Bella,Outer Richmond,37.77479,-122.4808,Entire home/apt,89,2,131,2023-11-19,1.67,1,0,36,2021-007632STR,52,178,2.519230769230769
1535,15860350,Home in San Francisco · ★4.89 · 3 bedrooms · 3 beds · 2 baths,8597535,Laura,Outer Sunset,37.75436,-122.49835,Entire home/apt,375,1,54,2023-05-22,0.88,2,0,1,"STR-0000512  “Possession of a at San Francisco Short-Term Rental Registration Certificate certifies that the registration certificate holder has agreed to comply with the terms of the San Francisco Short-Term Residential Rental  Ordinance of San Francisco (Administrative Code Section 41 A.) This ordinance does not require an inspection of the unit by the City for potential Building, Housing, Fire or other code violations.”",233,375,0.2317596566523605
1536,15860884,Guest suite in San Francisco · ★4.94 · 2 bedrooms · 2 beds · 1.5 baths,6136360,Jeff,Mission,37.75303,-122.41575,Entire home/apt,176,2,325,2023-11-24,3.78,1,2,5,STR-0002008,47,352,6.914893617021277
1537,15873231,Boutique hotel in San Francisco · ★4.31 · 1 bedroom · 1 bed · 0 baths,93714995,Hotel,Financial District,37.78931,-122.40588,Private room,47,1,26,2023-11-26,0.31,15,110,3,BAN-1030905,45,47,0.5777777777777777
1538,15903424,Rental unit in San Francisco · ★4.98 · 2 bedrooms · 2 beds · 1 bath,88656778,Lainie & Charlie,Parkside,37.74522,-122.49018,Entire home/apt,127,2,287,2023-11-25,3.34,1,150,37,STR-0004891,46,254,6.239130434782608
1539,15904098,Boutique hotel in San Francisco · ★4.42 · 1 bedroom · 1 bed · 0 baths,93714995,Hotel,Financial District,37.78931,-122.40588,Private room,47,1,38,2023-11-29,0.45,15,117,3,BAN-1030905,42,47,0.9047619047619048
1540,15920878,Rental unit in San Francisco · ★4.46 · 2 bedrooms · 2 beds · 1 bath,103297299,Steven,Parkside,37.74347077128174,-122.48450566020249,Entire home/apt,138,2,129,2020-03-08,1.5,1,89,0,STR-0001802,1403,276,0.09194583036350677
1541,15939264,Guest suite in San Francisco · ★4.76 · Studio · 1 bed · 1 bath,22267913,Henry,Visitacion Valley,37.71995,-122.40177,Entire home/apt,50,30,21,2023-05-10,0.25,2,184,2,City registration pending,245,1500,0.08571428571428572
1542,15939487,Guest suite in San Francisco · ★4.38 · Studio · 1 bed · 1 bath,22267913,Henry,Visitacion Valley,37.71962,-122.39988,Entire home/apt,50,30,26,2023-08-05,0.31,2,334,3,City registration pending,158,1500,0.16455696202531644
1543,15957623,Condo in San Francisco · ★4.91 · 5 bedrooms · 5 beds · 3 baths,30075056,Joelle,Bernal Heights,37.74617,-122.4166,Entire home/apt,275,30,23,2023-08-12,0.28,5,128,2,(BAN) 0479700,151,8250,0.152317880794702
1544,15957963,Boutique hotel in San Francisco · ★4.35 · 1 bedroom · 1 bed · 0 baths,93714995,Hotel,Financial District,37.78931,-122.40588,Private room,47,1,48,2023-11-16,0.56,15,67,4,BAN-1030905,55,47,0.8727272727272727
1545,15984490,Rental unit in San Francisco · ★5.0 · 4 bedrooms · 2 baths,4152894,Gena And Jon,Castro/Upper Market,37.76144,-122.44008,Entire home/apt,400,30,10,2023-10-29,0.12,2,179,2,DLW-28855DE,73,12000,0.136986301369863
1546,15987415,Serviced apartment in San Francisco · ★4.29 · 1 bedroom · 1 bed · 4 shared baths,103884979,Rams,South of Market,37.77655,-122.41538,Private room,123,1,81,2023-10-17,0.95,15,0,16,Exempt,85,123,0.9529411764705882
1548,15999597,Rental unit in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 bath,6727363,Laura,Castro/Upper Market,37.76344,-122.44396,Entire home/apt,110,30,20,2023-10-12,0.24,1,299,2,City registration pending,90,3300,0.2222222222222222
1549,16001051,Boutique hotel in San Francisco · ★4.57 · 1 bedroom · 1 bed · 4 shared baths,103884979,Rams,South of Market,37.77722,-122.4156,Hotel room,125,1,34,2023-11-11,0.41,15,0,20,Exempt,60,125,0.5666666666666667
1551,16055131,Home in San Francisco · ★4.91 · 2 bedrooms · 2 beds · 1 bath,10784845,Amy,Twin Peaks,37.7503,-122.45214,Entire home/apt,289,5,47,2019-11-22,0.57,1,0,0,2022-007062STR,1510,1445,0.031125827814569535
1553,16073836,Home in San Francisco · ★5.0 · 5 bedrooms · 8 beds · 3.5 baths,19861970,Dennis,Haight Ashbury,37.76474,-122.4447,Entire home/apt,1650,30,105,2023-02-03,1.25,2,291,3,2023-002535STR,341,49500,0.30791788856304986
1554,16079346,Home in San Francisco · ★4.88 · 1 bedroom · 1 bed · 1.5 baths,50381482,Monette,Haight Ashbury,37.76726,-122.44599,Private room,125,2,109,2023-11-14,1.46,1,154,36,2022-005824STR,57,250,1.912280701754386
1555,16086843,Boutique hotel in San Francisco · ★4.32 · 1 bedroom · 1 bed · 1 bath,93714995,Hotel,Financial District,37.78931,-122.40588,Private room,153,1,331,2023-11-06,3.88,15,0,23,BAN-1030905,65,153,5.092307692307692
1556,16088064,Rental unit in San Francisco · ★4.83 · 5 bedrooms · 7 beds · 3.5 baths,75323230,Joe,Nob Hill,37.79044,-122.41776,Entire home/apt,490,30,122,2023-10-09,1.44,2,364,1,2023-001340STR,93,14700,1.3118279569892473
1557,16096747,Rental unit in San Francisco · ★4.88 · 1 bedroom · 1 bed · 1 bath,6547664,Tanya,Western Addition,37.78102,-122.43039,Entire home/apt,138,30,17,2023-05-26,0.55,1,179,3,city registration pending,229,4140,0.07423580786026202
1558,16125990,Home in San Francisco · ★4.90 · 1 bedroom · 1 bed · 1.5 shared baths,81226014,Lynn & Ray,Outer Sunset,37.75811,-122.48805,Private room,68,1,105,2023-08-09,1.37,4,28,12,2022-003646STR,154,68,0.6818181818181818
1559,16162625,Boutique hotel in San Francisco · ★4.34 · 1 bedroom · 1 bed · 1 private bath,93714995,Hotel,Financial District,37.78931,-122.40588,Private room,128,1,308,2023-10-30,3.61,15,147,27,BAN-1030905,72,128,4.277777777777778
1560,16173016,Rental unit in San Francisco · ★4.98 · 1 bedroom · 1 bed · 1 bath,105578739,Elizabeth,Mission,37.76026,-122.40728,Entire home/apt,298,1,380,2023-11-19,4.54,1,242,48,STR-0001794,52,298,7.3076923076923075
1561,16176101,Boutique hotel in San Francisco · ★4.31 · 1 bedroom · 2 beds · 1 private bath,93714995,Hotel,Financial District,37.78931,-122.40588,Private room,170,1,247,2023-10-27,2.92,15,154,27,BAN-1030905,75,170,3.2933333333333334
1562,16178751,Rental unit in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 bath,3470491,Andrew,Mission,37.75853,-122.41971,Entire home/apt,200,2,48,2023-08-18,0.57,1,5,6,City Registration Pending,145,400,0.3310344827586207
1563,16179065,Rental unit in San Francisco · ★4.91 · Studio · 1 bed · 1 bath,3817487,Bruce/Keith -,Noe Valley,37.75375,-122.43739,Entire home/apt,127,30,43,2023-08-31,0.53,1,355,3,STR-0000195,132,3810,0.32575757575757575
1564,16190202,Guesthouse in San Francisco · ★4.93 · 1 bedroom · 1 bed · 1 bath,105724944,Aiden,Bernal Heights,37.74684,-122.40721,Entire home/apt,87,30,46,2023-11-04,0.59,1,365,2,"Since the casita is considered an accessory dwelling unit, the City of San Francisco only allows us to host stays that are 30 days or longer...sorry!",67,2610,0.6865671641791045
1565,16204265,Condo in San Francisco · ★4.97 · 1 bedroom · 1 bed · 1 private bath,1291823,Koncha,Mission,37.76156,-122.42059,Private room,123,1,586,2023-11-20,6.95,2,0,79,1081184﻿,51,123,11.490196078431373
1566,16228848,Boutique hotel in San Francisco · ★4.34 · 1 bedroom · 1 bed · 1 private bath,93714995,Hotel,Financial District,37.78931,-122.40588,Private room,128,1,301,2023-11-05,3.56,15,146,24,BAN-1030905,66,128,4.5606060606060606
1567,16255081,Boutique hotel in San Francisco · ★4.34 · 1 bedroom · 1 bed · 1 bath,93714995,Hotel,Financial District,37.78931,-122.40588,Private room,128,1,304,2023-11-08,3.57,15,150,15,BAN-1030905,63,128,4.825396825396825
1569,16305055,Guest suite in San Francisco · ★4.75 · Studio · 2 beds · 1 bath,106687468,Stephen,Parkside,37.73875,-122.49095,Entire home/apt,112,3,166,2023-11-01,2.07,1,356,24,STR-0004775,70,336,2.3714285714285714
1571,16336782,Rental unit in San Francisco · ★4.96 · Studio · 3 beds · 1 bath,106951010,Renita,Outer Sunset,37.76404,-122.48881,Entire home/apt,219,2,184,2023-11-18,2.21,1,74,27,City Registration Pending,53,438,3.4716981132075473
1572,16348139,Rental unit in San Francisco · ★4.87 · 2 bedrooms · 2 beds · 2.5 baths,7610972,Grettel,Russian Hill,37.80154,-122.4131,Entire home/apt,725,3,45,2023-10-20,0.57,2,119,8,STR-0004801,82,2175,0.5487804878048781
1573,16362304,Home in San Francisco · ★4.88 · 1 bedroom · 1 bed · 1 private bath,36381578,Harris,Outer Richmond,37.78089,-122.50488,Private room,100,3,182,2023-09-30,2.17,3,295,14,STR-0000548,102,300,1.7843137254901962
1574,16407735,Guest suite in San Francisco · ★4.83 · 1 bedroom · 1 bed · 1 bath,4350837,Servio,Parkside,37.74286,-122.47479,Entire home/apt,100,2,261,2023-11-13,3.16,2,80,34,STR-0002761,58,200,4.5
1575,16426353,Boutique hotel in San Francisco · ★4.37 · 1 bedroom · 1 bed · 1 private bath,93714995,Hotel,Financial District,37.78931,-122.40588,Private room,153,1,329,2023-11-08,3.9,15,141,19,BAN-1030905,63,153,5.222222222222222
1577,16441272,Guest suite in San Francisco · ★4.97 · 1 bedroom · 1 bed · 1 bath,66107483,Tomo,Outer Sunset,37.74752,-122.5012,Entire home/apt,200,4,35,2021-08-14,0.46,2,89,0,2022-003935STR,879,800,0.03981797497155859
1581,16490343,Boutique hotel in San Francisco · ★4.71 · 1 bedroom · 1 bed · 1 private bath,55782784,Kevin,Chinatown,37.79056,-122.4071,Private room,230,2,7,2019-01-10,0.08,23,0,0,382559,1826,460,0.0038335158817086527
1584,16519220,Home in San Francisco · ★4.99 · 1 bedroom · 2 beds · 1 bath,5805679,Laurence,Castro/Upper Market,37.76290130615234,-122.44026947021484,Entire home/apt,305,3,161,2023-11-19,1.97,32,188,25,2023-000626STR,52,915,3.0961538461538463
1586,16542790,Townhouse in San Francisco · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,2513762,Trey,Western Addition,37.77359,-122.42441,Private room,67,30,140,2023-08-28,1.67,3,67,3,STR-0001711,135,2010,1.037037037037037
1587,16556338,Home in San Francisco · ★4.51 · 1 bedroom · 1 bed · 1 shared bath,8676376,Herbert,Excelsior,37.72546,-122.4202,Private room,77,30,137,2021-12-01,1.63,5,95,0,STR-0001910,770,2310,0.17792207792207793
1591,16570521,Home in San Francisco · ★4.88 · 1 bedroom · 1 bed · 1 private bath,21303289,Eugenia And Alessandro,Seacliff,37.78732,-122.49336,Private room,154,2,155,2023-10-08,1.88,1,129,27,STR-0004781,94,308,1.648936170212766
1593,16649876,Rental unit in San Francisco · ★4.86 · 1 bedroom · 2 beds · 1 bath,48785800,Dawn,Outer Mission,37.73093,-122.4525,Entire home/apt,175,1,254,2023-10-24,3.09,1,0,22,STR-0001969,78,175,3.2564102564102564
