,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,days_since_last_review,minimum_amount_spent,rating_score
317,1138542,Home in San Francisco · ★4.60 · 4 bedrooms · 4 beds · 3 baths,4229195,Darragh,Bernal Heights,37.74565,-122.41281,Entire home/apt,459,10,5,2023-08-14,0.04,1,265,1,2023-003296STR,149,4590,0.03355704697986577
320,1150867,Rental unit in San Francisco · ★4.85 · 1 bedroom · 1 bed · 1 bath,6307640,Annabelle,Castro/Upper Market,37.76658,-122.43825,Entire home/apt,360,2,415,2023-10-21,3.27,1,352,27,STR-0004171,81,720,5.1234567901234565
321,1151109,Home in San Francisco · ★5.0 · 2 bedrooms · 2 beds · 2 baths,6308697,Bella,Marina,37.80022,-122.43953,Entire home/apt,799,30,12,2021-12-28,0.13,1,365,0,STR-1021838,743,23970,0.016150740242261104
322,1151237,Home in San Francisco · 5 bedrooms · 5 beds · 3.5 baths,6309875,Rebecca,Castro/Upper Market,37.75954,-122.43823,Entire home/apt,470,5,2,2023-08-14,0.38,1,157,2,2023-002690STR,149,2350,0.013422818791946308
325,1198464,Home in San Francisco · ★4.63 · 1 bedroom · 1 bed · 3 shared baths,5565510,Lulu,West of Twin Peaks,37.73386,-122.4638,Private room,41,5,125,2023-09-16,1.0,5,365,7,STR-0005753,116,205,1.0775862068965518
329,1212513,Rental unit in San Francisco · ★5.0 · 2 bedrooms · 2 beds · 1 shared bath,1237762,Myles,Castro/Upper Market,37.76067,-122.4389,Private room,350,2,7,2022-08-01,0.06,2,168,0,STR-0004719,527,700,0.013282732447817837
330,1212746,Rental unit in San Francisco · ★4.87 · 3 bedrooms · 3 beds · 2 baths,1237762,Myles,Castro/Upper Market,37.76018,-122.4402,Entire home/apt,595,2,123,2023-10-02,0.98,2,78,6,STR-0004719,100,1190,1.23
331,1212822,Condo in San Francisco · ★4.88 · 3 bedrooms · 3 beds · 2 baths,1700823,Jennifer,Marina,37.80494,-122.44457,Entire home/apt,365,30,42,2023-02-22,0.33,2,337,1,STR-0001083,322,10950,0.13043478260869565
332,1223704,Townhouse in San Francisco · ★4.79 · 2 bedrooms · 2 beds · 1 bath,1588519,Matthew,South of Market,37.78002548217773,-122.40237426757812,Entire home/apt,187,2,30,2023-11-25,0.24,1,76,1,2023-010340STR,46,374,0.6521739130434783
333,1225969,Home in San Francisco · ★4.64 · 3 bedrooms · 3 beds · 2 baths,417666,Vera,Potrero Hill,37.75968,-122.39212,Entire home/apt,425,2,25,2023-11-12,0.21,3,79,9,2023-005636STR,59,850,0.423728813559322
335,1245838,Rental unit in San Francisco · ★4.82 · 3 bedrooms · 4 beds · 2 baths,6789170,Nicole,Bernal Heights,37.73483,-122.41838,Entire home/apt,411,3,44,2023-01-01,0.35,1,312,1,STR-0000906,374,1233,0.11764705882352941
337,1267206,Rental unit in San Francisco · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,6081814,Nancy,Glen Park,37.74184,-122.42423,Private room,86,30,91,2023-10-01,0.72,2,250,13,2023-008890STR,101,2580,0.900990099009901
339,1276953,Condo in San Francisco · ★4.97 · 2 bedrooms · 2 beds · 1 bath,799436,David,Western Addition,37.77055,-122.4314,Entire home/apt,299,5,58,2023-11-25,0.47,1,0,6,str-0000689,46,1495,1.2608695652173914
