,neighbourhood,room_type,price,num_of_listings,number_of_reviews,minimum_nights,availability_365,days_since_last_review,minimum_amount_spent,rating_score,latitude,longitude,calculated_host_listings_count,number_of_reviews_ltm,reviews_per_month
44,Noe Valley,Entire home/apt,312.46564885496184,131,79.57251908396947,10.183206106870228,123.20610687022901,186.04580152671755,2494.8015267175574,1.2160804310019453,37.74956802847608,-122.43328004253407,1.3893129770992367,14.885496183206106,1.6104580152671755
45,Noe Valley,Private room,129.0487804878049,41,88.53658536585365,4.829268292682927,126.07317073170732,246.17073170731706,583.0731707317074,1.3249010097931577,37.748101051873164,-122.4325007259304,2.707317073170732,15.926829268292684,1.561951219512195
46,North Beach,Entire home/apt,471.3333333333333,30,46.63333333333333,9.033333333333333,169.43333333333334,233.43333333333334,2540.266666666667,0.5807998888526348,37.80257037100581,-122.4081611821107,1.5,11.766666666666667,1.4533333333333334
47,North Beach,Hotel room,900.0,1,2.0,2.0,4.0,363.0,1800.0,0.005509641873278237,37.80702,-122.40917,2.0,1.0,0.04
48,North Beach,Private room,421.06060606060606,33,66.60606060606061,2.0,271.24242424242425,229.63636363636363,543.6666666666666,0.9556998634237129,37.80416845198777,-122.41157180629627,7.181818181818182,12.151515151515152,1.240909090909091
49,North Beach,Shared room,45.0,1,959.0,1.0,298.0,41.0,45.0,23.390243902439025,37.79821,-122.40521,4.0,354.0,8.7
50,Ocean View,Entire home/apt,196.76923076923077,39,78.43589743589743,14.153846153846153,187.30769230769232,196.17948717948718,1616.5384615384614,1.4670111988982566,37.71777505216652,-122.45861318241626,1.7179487179487178,22.692307692307693,2.588205128205128
51,Ocean View,Private room,102.46153846153847,39,63.97435897435897,4.641025641025641,167.97435897435898,244.74358974358975,418.12820512820514,0.8296910800340481,37.71881714133492,-122.46214017315323,2.6666666666666665,14.538461538461538,1.6028205128205129
52,Outer Mission,Entire home/apt,209.05172413793105,58,85.55172413793103,7.172413793103448,138.72413793103448,166.22413793103448,1286.2931034482758,1.4697055937203554,37.724881109056064,-122.44415548523578,1.8448275862068966,23.0,2.3689655172413793
53,Outer Mission,Private room,91.65517241379311,29,111.48275862068965,6.758620689655173,187.0,183.51724137931035,571.0,1.7138117412894984,37.724149148799015,-122.44224039940731,2.793103448275862,17.79310344827586,2.009310344827586
54,Outer Richmond,Entire home/apt,240.5631067961165,103,133.60194174757282,5.262135922330097,111.94174757281553,132.55339805825244,1138.5728155339805,2.4979868028354626,37.77724587703667,-122.49462931383182,1.7864077669902914,31.37864077669903,2.972233009708738
55,Outer Richmond,Private room,90.13953488372093,43,88.62790697674419,1.7209302325581395,148.0,177.41860465116278,161.34883720930233,1.394308745008891,37.77787945237046,-122.49746919895288,3.4651162790697674,16.46511627906977,2.268372093023256
56,Outer Sunset,Entire home/apt,224.46753246753246,154,117.58441558441558,7.097402597402597,125.79220779220779,111.83766233766234,1559.8181818181818,2.219008358593242,37.756388487453656,-122.49406370093165,1.7792207792207793,26.25974025974026,2.6764285714285716
57,Outer Sunset,Private room,86.6086956521739,92,138.5,4.478260869565218,152.18478260869566,122.57608695652173,355.4891304347826,2.5178903466723432,37.75569255323993,-122.49040650542601,3.2065217391304346,34.67391304347826,3.183695652173913
58,Pacific Heights,Entire home/apt,578.1041666666666,48,60.458333333333336,8.5625,173.27083333333334,251.33333333333334,3735.5833333333335,1.0772266426346861,37.79212388396831,-122.43512528811249,4.104166666666667,12.208333333333334,1.068125
59,Pacific Heights,Hotel room,149.0,1,271.0,1.0,179.0,74.0,149.0,3.6621621621621623,37.79696,-122.42539,16.0,10.0,2.61
60,Pacific Heights,Private room,200.30434782608697,23,151.43478260869566,2.347826086956522,156.3913043478261,173.56521739130434,485.7391304347826,2.037447675611711,37.79307108417126,-122.43392618047821,7.6521739130434785,17.52173913043478,2.059565217391304
61,Pacific Heights,Shared room,77.75,4,1.75,1.0,340.5,164.75,77.75,0.011107578037338897,37.7928478,-122.4245387,7.0,1.75,0.33
62,Parkside,Entire home/apt,185.16666666666666,84,122.35714285714286,4.380952380952381,129.17857142857142,132.25,855.547619047619,1.9565333621131151,37.74180444978846,-122.48729890374341,1.6547619047619047,26.916666666666668,2.8723809523809525
63,Parkside,Private room,89.04347826086956,23,58.30434782608695,4.217391304347826,161.7391304347826,107.95652173913044,283.60869565217394,0.8441487070915832,37.74237266269063,-122.48203977379715,2.3043478260869565,22.391304347826086,2.5460869565217394
64,Potrero Hill,Entire home/apt,303.24657534246575,73,114.94520547945206,11.534246575342467,119.08219178082192,164.3835616438356,3474.123287671233,1.9707996482920838,37.7589560340781,-122.39799963876757,1.3150684931506849,18.465753424657535,2.039041095890411
65,Potrero Hill,Private room,145.125,24,190.70833333333334,3.9583333333333335,150.29166666666666,188.45833333333334,480.1666666666667,3.2780576371531125,37.75945742833509,-122.39848866375291,2.9166666666666665,24.291666666666668,2.3008333333333333
66,Presidio,Entire home/apt,358.2,5,32.4,8.0,140.4,108.2,2460.4,0.5120673558172004,37.79547665795454,-122.45748180831667,1.0,12.6,1.196
67,Presidio,Private room,252.5,2,371.0,16.5,356.0,763.5,5482.5,3.404022038567493,37.80527,-122.462245,1.0,17.0,3.125
68,Presidio Heights,Entire home/apt,420.5,12,105.16666666666667,7.0,116.33333333333333,220.75,1899.8333333333333,1.5406989758062775,37.786263754430585,-122.45341582912148,1.25,12.666666666666666,1.8516666666666666
69,Presidio Heights,Private room,221.0,2,113.5,1.5,206.0,61.5,295.5,2.423475258918297,37.7840535,-122.4514025,3.0,15.5,1.1949999999999998
70,Russian Hill,Entire home/apt,559.1714285714286,70,52.58571428571429,11.714285714285714,137.45714285714286,279.95714285714286,3923.1285714285714,0.840055987040158,37.80291385303222,-122.41919817987014,6.671428571428572,8.871428571428572,0.944
71,Russian Hill,Hotel room,92.0,1,400.0,1.0,0.0,57.0,92.0,7.017543859649122,37.7992,-122.42358,16.0,52.0,3.64
72,Russian Hill,Private room,325.0,17,64.0,2.235294117647059,94.11764705882354,262.47058823529414,600.1764705882352,0.9864986563709174,37.803906628885365,-122.41965247383226,12.823529411764707,6.9411764705882355,0.8923529411764706
73,Seacliff,Entire home/apt,297.0,4,35.75,3.75,46.5,88.5,868.25,0.6618772206072352,37.779893924617284,-122.50037790720481,5.75,18.0,1.665
74,Seacliff,Private room,139.0,2,446.0,1.5,64.5,69.0,216.0,9.199468085106384,37.78369,-122.501205,1.5,50.5,4.625
75,South of Market,Entire home/apt,306.7073170731707,82,50.6219512195122,14.134146341463415,181.58536585365854,249.109756097561,4815.756097560976,0.7532515676304283,37.7783780217142,-122.40323392829913,2.6341463414634148,11.036585365853659,1.426219512195122
76,South of Market,Hotel room,251.3125,16,39.125,1.0,232.625,245.6875,251.3125,0.5618016669808017,37.778442535328196,-122.41140197925198,13.6875,10.875,0.971875
77,South of Market,Private room,178.2972972972973,74,84.97297297297297,5.77027027027027,172.44594594594594,175.2027027027027,2195.5,1.4633382433742488,37.778527454809364,-122.40615559022304,5.418918918918919,23.43243243243243,2.235810810810811
78,South of Market,Shared room,150.0,1,117.0,30.0,365.0,1510.0,4500.0,0.07748344370860927,37.77543,-122.40575,1.0,0.0,0.91
79,Twin Peaks,Entire home/apt,319.3225806451613,31,80.35483870967742,4.0,181.70967741935485,131.96774193548387,1142.516129032258,1.2961520713483794,37.752543909817284,-122.4473923239977,1.2903225806451613,19.387096774193548,2.2925806451612902
80,Twin Peaks,Private room,123.75,4,226.25,25.0,129.0,761.0,2913.5,3.8222155583698183,37.7552575,-122.44810749999999,1.5,17.75,2.2525
81,Visitacion Valley,Entire home/apt,173.0,40,100.625,4.4,136.125,121.225,509.1,1.9238585908854628,37.71666601006662,-122.40457923840856,2.525,28.25,2.83825
82,Visitacion Valley,Private room,77.0,27,68.92592592592592,2.4074074074074074,201.96296296296296,348.14814814814815,164.22222222222223,1.1053055700441912,37.71519647473698,-122.40811015722002,3.814814814814815,22.14814814814815,2.450740740740741
83,West of Twin Peaks,Entire home/apt,221.26666666666668,60,134.15,4.283333333333333,175.81666666666666,191.1,846.1333333333333,2.2642590426916973,37.73716904586787,-122.45874525510266,1.2833333333333334,20.366666666666667,1.9785
84,West of Twin Peaks,Private room,87.70833333333333,24,79.29166666666667,7.291666666666667,228.0,189.875,642.25,0.8897408836643305,37.73494163165444,-122.45841839466082,3.2083333333333335,9.0,1.27375
85,Western Addition,Entire home/apt,428.8627450980392,153,65.28104575163398,9.705882352941176,124.90196078431373,296.47058823529414,3105.718954248366,0.9890962517635017,37.77732418988824,-122.43401515817565,2.0784313725490198,12.947712418300654,1.4567973856209149
86,Western Addition,Hotel room,327.6666666666667,3,1.6666666666666667,1.0,343.0,1352.6666666666667,327.6666666666667,0.0012856762898265119,37.78585,-122.44533,5.0,0.0,0.04
87,Western Addition,Private room,146.42424242424244,132,96.65151515151516,4.340909090909091,168.59848484848484,172.7651515151515,547.2575757575758,1.648784898500485,37.77895770877369,-122.43053054589416,29.12878787878788,21.46212121212121,2.380909090909091
88,Western Addition,Shared room,67.5,2,1.5,1.5,362.5,76.5,101.0,0.01951637471439452,37.7881339,-122.4228484,128.0,1.5,0.67
